,class_4FGL,Flux1000,PL_Index,LP_Index,LP_SigCurv,PLEC_ExpfactorS,PLEC_Flux_Density,Frac_Variability
3,bcu-bll-fsrq-agn,1.2597956000000002e-10,2.2716956,2.2540812000000003,0.08389318,0.029461507,2.228697e-14,0.67588246
4,Soft,7.471219e-10,2.1166923,2.0789266,1.6977366000000003,0.063211724,2.8134440000000006e-13,0.40656525
5,bcu-bll-fsrq-agn,1.0822458000000001e-10,1.9391596000000002,1.6612232,0.42502323,0.17971827,6.563064e-15,0.0
6,Soft,1.3473536e-09,2.65406,2.5141593999999996,8.188197,0.19254948,5.1805248e-11,0.9961379000000001
8,bcu-bll-fsrq-agn,2.8218167e-10,1.7751755,1.6938646000000002,1.5178293,0.06496242,2.0506261e-14,0.49097705
9,bcu-bll-fsrq-agn,9.04753e-11,1.8766631999999999,1.7166203999999998,1.2849038000000002,0.7522361,7.669335e-15,0.90285075
10,bcu-bll-fsrq-agn,2.5888082999999996e-10,1.8477732,1.593436,3.0890150000000003,0.19162609,3.004925e-14,0.17425367
11,Soft,6.263619599999999e-10,2.57087,2.7123258,3.5366370000000003,0.5130299,2.895886e-13,0.0
12,bcu-bll-fsrq-agn,1.1913823999999998e-10,2.0920746,2.0607265999999997,1.179114,0.121260665,1.1527471000000002e-14,0.09686208
13,bcu-bll-fsrq-agn,7.802861e-11,1.9144564999999998,1.5352649999999999,1.8631422999999998,0.43278491,6.367126e-15,0.5716937
14,Soft,2.5682836e-10,2.4712794,2.451493,1.2504561,0.26714754,3.7020774e-14,0.18323715
15,Soft,2.4692366e-09,2.4791055,2.3609857999999995,11.000744000000001,0.63310885,2.066273e-12,0.04721903400000001
16,bcu-bll-fsrq-agn,3.4436592e-10,1.9155122,1.8593991,1.1180731000000002,0.06532837,3.3193368e-14,0.0
17,bcu-bll-fsrq-agn,9.928427e-11,2.1164167000000003,1.8975306,3.0382462,3.131537,1.2181971999999998e-14,0.0
18,Soft,2.4506152999999997e-10,2.3491542,2.1875904,2.5568552,0.61170757,2.6384903e-13,0.0
19,Soft,4.2482515e-10,2.28195,2.1029517999999996,3.752933,0.39321855,5.536666999999999e-13,0.5918793999999999
20,bcu-bll-fsrq-agn,1.2143381e-10,2.2739096,2.2789261,0.08771187,0.026179725,4.5094425e-14,0.0
21,bcu-bll-fsrq-agn,1.5356723e-10,2.2172673,1.9643838,2.2953403,0.6430045999999999,3.9628612999999995e-14,0.0
23,bcu-bll-fsrq-agn,3.3126035e-10,2.1779604,2.0099006,2.8676007,0.23958421,2.0181754e-13,0.0
24,Soft,3.8982126000000003e-10,2.4473314,2.370576,2.2220757,0.22264941,2.5539857e-13,0.1602818
25,bcu-bll-fsrq-agn,1.7724999e-10,2.002625,1.5944288999999998,2.8244255000000003,0.5812807,2.7405644000000002e-14,0.35787228
26,Soft,3.8481487e-10,2.5879583,2.490068,2.7210958,0.21306860000000002,1.7428504e-12,1.0162235000000002
27,Soft,3.898786e-10,2.4382217,2.393472,1.8240466,0.094646916,8.9832666e-13,0.82349813
28,Soft,2.2972317999999998e-10,2.2029737999999996,2.169249,1.2740239,0.046466835,7.970387599999999e-14,0.6641294
29,Soft,4.045122e-10,2.629073,2.9045646,3.218541,0.92383736,4.0179936e-13,0.17280307
30,Soft,4.0120826e-10,2.6222498,2.5237925,3.510134,0.22591884,4.820664e-12,0.36480123
31,Soft,9.017888e-11,2.1816247000000004,2.1359594,0.30891290000000005,0.083006136,1.9336302e-14,0.0
32,bcu-bll-fsrq-agn,1.2675634e-10,2.1502833,2.1237487999999995,1.0373725,0.06880088,2.7958928e-14,0.4856095
33,bcu-bll-fsrq-agn,1.6665398e-10,2.0807567,1.7125118000000001,2.0740771000000002,0.3649277,3.4691556000000005e-14,0.0
34,Soft,8.951056999999999e-11,2.4835656000000004,2.4229586,1.1699522,0.48979986,1.7224827e-13,0.0
36,psr,6.628878e-08,2.0386936999999996,2.0787308,76.61577,0.49503050000000004,1.6034736e-11,0.0
38,bcu-bll-fsrq-agn,4.4584435999999997e-10,2.1395662,1.9320873,2.4661615,0.17337438,1.7450107e-13,0.51003826
39,bcu-bll-fsrq-agn,2.0905304e-09,2.0533266,1.9260442,4.326955,0.06747267400000001,1.1963606000000001e-12,0.0
40,Soft,1.203355e-10,2.6259644,2.6039630000000002,1.9140816000000003,0.38834628,4.852675999999999e-13,0.42448959999999997
41,Soft,3.4939042999999997e-10,2.3612466,2.3658912,0.9357821,0.08596819,3.896015e-14,0.059843846
42,bcu-bll-fsrq-agn,1.8154193000000002e-10,1.7175813000000002,1.4628757,2.6448888999999998,0.2502987,1.2383861e-14,0.0
43,bcu-bll-fsrq-agn,5.1733334e-10,2.0788698,1.9379028000000003,2.4028213,0.10478895,2.1075843e-13,0.65726656
44,Soft,8.034892e-11,2.8859074000000002,2.786317,1.355157,0.32888702,2.093796e-12,0.48300329999999997
